Molecule ChEMBL ID,Smiles,Standard Value,Standard Units
CHEMBL374858,CC(C)C[C@H](/C=C/S(=O)(=O)c1ccccc1)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,12500.0,nM
CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,,
CHEMBL23584,Cc1c(CSc2cccc3ccccc23)cnc2nc(N)nc(N)c12,40.0,nM
CHEMBL23713,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,30.0,nM
CHEMBL404134,O=C(O)CC1S/C(=N\N=C\c2ccc(F)cc2)N(c2ccccc2)C1=O,50000.0,nM
CHEMBL253105,O=C(O)CC1S/C(=N\N=C\c2ccccc2F)N(c2ccccc2)C1=O,1000000.0,nM
CHEMBL252966,COc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,1000000.0,nM
CHEMBL515063,CC(C)=CCc1ccc(O)c(C=O)c1C(=O)c1cc(C)cc2c1OC(C(C)(C)O)CO2,,
CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,,
CHEMBL1213628,CSc1c(Sc2ccc([N+](=O)[O-])cc2)[nH]c2ccccc12,28000.0,nM
CHEMBL95155,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)C[C@@H]12,2000.0,nM
CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,,
CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12,,
CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,,
CHEMBL1454,c1ccc([C@H]2CN3CCSC3=N2)cc1,,
CHEMBL1213583,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,
CHEMBL406,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,,
CHEMBL435,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,
CHEMBL1765145,O=P(O)(O)C(CNCc1ccccc1)P(=O)(O)O,10000.0,nM
CHEMBL1765149,CCCCCCCCCCCCNCC(P(=O)(O)O)P(=O)(O)O,6230.0,nM
CHEMBL23466,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(C(F)(F)F)c1,1000.0,nM
CHEMBL711,O=C1c2ccccc2C(=O)C1c1ccccc1,,
CHEMBL93645,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,,
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,,
CHEMBL803,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,,
CHEMBL169901,N=C(N)N1CCc2ccccc2C1,,
CHEMBL49080,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,,
CHEMBL1256764,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],4300.0,nM
CHEMBL22677,Cc1c(CSc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,300.0,nM
CHEMBL4228822,CN(C)c1ccc(-c2nc3ccccc3c(=O)n2CCc2ccc(O)cc2)cc1,112000.0,nM
CHEMBL4077094,O=c1[nH]c(-c2ccc3c(c2)OCO3)nc2ccccc12,50000.0,nM
CHEMBL152046,CCCCCCn1c(-c2ccc(N(C)C)cc2)nc2ccccc2c1=O,18000.0,nM
CHEMBL4225119,CCCCCCCCCCn1c(-c2ccc(OCc3ccccc3)cc2)nc2ccccc2c1=O,25000.0,nM
CHEMBL1774288,C=CCO/N=C1\[C@H](C)C[C@@](C)(O)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@H]1C,2700.0,nM
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,100000.0,nM
CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,,
CHEMBL253376,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,,
CHEMBL23963,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(C(F)(F)F)c1,200.0,nM
CHEMBL219916,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,,
CHEMBL254219,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,,
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,,
CHEMBL896,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,
CHEMBL1085,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,,
CHEMBL23911,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,300.0,nM
CHEMBL1774304,C=CO[C@]1(C)C[C@@H](C)CN(Cc2ccccc2)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,5000.0,nM
CHEMBL1774297,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)CN(Cc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O,7000.0,nM
CHEMBL1774297,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)CN(Cc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O,10000.0,nM
